Date,Monthly Inflation Rate (seasonally adjusted),Annual Inflation Rate (not seasonally adjusted),Month,Year
Feb-25,0.2,2.8,2,2025
Jan-25,0.5,3,1,2025
Dec-24,0.4,2.9,12,2024
Nov-24,0.3,2.7,11,2024
Oct-24,0.2,2.6,10,2024
Sep-24,0.2,2.4,9,2024
Aug-24,0.2,2.5,8,2024
Jul-24,0.2,2.9,7,2024
Jun-24,-0.1,3,6,2024
May-24,0,3.3,5,2024
Apr-24,0.3,3.4,4,2024
Mar-24,0.4,3.5,3,2024
Feb-24,0.4,3.2,2,2024
Jan-24,0.3,3.1,1,2024
Dec-23,0.2,3.4,12,2023
Nov-23,0.1,3.1,11,2023
Oct-23,0,3.2,10,2023
Sep-23,0.4,3.7,9,2023
Aug-23,0.6,3.7,8,2023
Jul-23,0.2,3.2,7,2023
Jun-23,0.2,3,6,2023
May-23,0.1,4,5,2023
Apr-23,0.4,4.9,4,2023
Mar-23,0.1,5,3,2023
Feb-23,0.4,6,2,2023
Jan-23,0.5,6.4,1,2023
Dec-22,0.1,6.5,12,2022
Nov-22,0.2,7.1,11,2022
Oct-22,0.5,7.7,10,2022
Sep-22,0.4,8.2,9,2022
Aug-22,0.2,8.3,8,2022
Jul-22,0,8.5,7,2022
Jun-22,1.2,9.1,6,2022
May-22,0.9,8.6,5,2022
Apr-22,0.4,8.3,4,2022
Mar-22,1,8.5,3,2022
Feb-22,0.7,7.9,2,2022
Jan-22,0.6,7.5,1,2022
Dec-21,0.8,7,12,2021
Nov-21,0.8,6.8,11,2021
Oct-21,0.9,6.2,10,2021
Sep-21,0.4,5.4,9,2021
Aug-21,0.4,5.3,8,2021
Jul-21,0.4,5.4,7,2021
Jun-21,0.8,5.4,6,2021
May-21,0.7,5,5,2021
Apr-21,0.7,4.2,4,2021
Mar-21,0.5,2.6,3,2021
Feb-21,0.4,1.7,2,2021
Jan-21,0.2,1.4,1,2021
Dec-20,0.5,1.4,12,2020
Nov-20,0.2,1.2,11,2020
Oct-20,0.1,1.2,10,2020
Sep-20,0.2,1.4,9,2020
Aug-20,0.4,1.3,8,2020
Jul-20,0.5,1,7,2020
Jun-20,0.4,0.6,6,2020
May-20,-0.1,0.1,5,2020
Apr-20,-0.8,0.3,4,2020
Mar-20,-0.4,1.5,3,2020
Feb-20,0.1,2.3,2,2020
Jan-20,0.2,2.5,1,2020
Dec-19,0.3,2.3,12,2019
Nov-19,0.2,2.1,11,2019
Oct-19,0.3,1.8,10,2019
Sep-19,0.2,1.7,9,2019
Aug-19,0.1,1.7,8,2019
Jul-19,0.2,1.8,7,2019
Jun-19,-0.1,1.6,6,2019
May-19,0,1.8,5,2019
Apr-19,0.4,2,4,2019
Mar-19,0.3,1.9,3,2019
Feb-19,0.2,1.5,2,2019
Jan-19,0,1.6,1,2019
Dec-18,0.1,1.9,12,2018
Nov-18,-0.1,2.2,11,2018
Oct-18,0.2,2.5,10,2018
Sep-18,0.2,2.3,9,2018
Aug-18,0.2,2.7,8,2018
Jul-18,0.1,2.9,7,2018
Jun-18,0.1,2.9,6,2018
May-18,0.2,2.8,5,2018
Apr-18,0.3,2.5,4,2018
Mar-18,0,2.4,3,2018
Feb-18,0.3,2.2,2,2018
Jan-18,0.4,2.1,1,2018
Dec-17,0.2,2.1,12,2017
Nov-17,0.3,2.2,11,2017
Oct-17,0.1,2,10,2017
Sep-17,0.5,2.2,9,2017
Aug-17,0.4,1.9,8,2017
Jul-17,0,1.7,7,2017
Jun-17,0.1,1.6,6,2017
May-17,-0.1,1.9,5,2017
Apr-17,0.1,2.2,4,2017
Mar-17,0,2.4,3,2017
Feb-17,0.2,2.7,2,2017
Jan-17,0.4,2.5,1,2017
Dec-16,0.3,2.1,12,2016
Nov-16,0.1,1.7,11,2016
Oct-16,0.2,1.6,10,2016
Sep-16,0.3,1.5,9,2016
Aug-16,0.2,1.1,8,2016
Jul-16,-0.1,0.8,7,2016
Jun-16,0.3,1,6,2016
May-16,0.2,1,5,2016
Apr-16,0.4,1.1,4,2016
Mar-16,0.3,0.9,3,2016
Feb-16,-0.1,1,2,2016
Jan-16,0,1.4,1,2016
Dec-15,-0.1,0.7,12,2015
Nov-15,0.1,0.5,11,2015
Oct-15,0.1,0.2,10,2015
Sep-15,-0.2,0,9,2015
Aug-15,0,0.2,8,2015
Jul-15,0.2,0.2,7,2015
Jun-15,0.3,0.1,6,2015
May-15,0.3,0,5,2015
Apr-15,0.1,-0.2,4,2015
Mar-15,0.3,-0.1,3,2015
Feb-15,0.3,0,2,2015
Jan-15,-0.6,-0.1,1,2015
Dec-14,-0.3,0.8,12,2014
Nov-14,-0.2,1.3,11,2014
Oct-14,0,1.7,10,2014
Sep-14,0,1.7,9,2014
Aug-14,0,1.7,8,2014
Jul-14,0.1,2,7,2014
Jun-14,0.1,2.1,6,2014
May-14,0.2,2.1,5,2014
Apr-14,0.2,2,4,2014
Mar-14,0.2,1.5,3,2014
Feb-14,0.1,1.1,2,2014
